type,id,title,url,date
热点问题,1919032669615912434,北京电子科技学院、国防科技大学等多所高校明确不招复读生，怎样看待这一规定？,https://www.zhihu.com/question/1919032669615912434,2025-06-20
热点问题,452579557,为什么很多年轻人陷入消费主义，点都点不醒？,https://www.zhihu.com/question/452579557,2025-06-20
热点问题,1918927206014513649,如何看待「苏超」赞助商 1 个月增加超 200%，达到中超 2 倍？,https://www.zhihu.com/question/1918927206014513649,2025-06-20
热点问题,1918540480737703593,《大明王朝 1566》中海瑞母亲为什么后来执意要回海南，导致海瑞妻子中途难产而死？,https://www.zhihu.com/question/1918540480737703593,2025-06-20
热点问题,1918252004402230420,印度亿万富翁误吞蜜蜂被蛰后身亡，为什么被蜂蛰会这么严重？被蜇后有哪些急救措施？,https://www.zhihu.com/question/1918252004402230420,2025-06-20
热点问题,1919364036560122733,以媒称以方使用特殊武器将 9 名伊朗顶尖核科学家暗杀，可能是什么武器？核科学家被暗杀对伊朗影响有多大？,https://www.zhihu.com/question/1919364036560122733,2025-06-20
热点问题,1919076084714009760,男子因眼睛小被小米汽车系统频繁误判疲劳驾驶，一路提醒 20 多次，这是智能汽车通病吗？怎么解决该 bug？,https://www.zhihu.com/question/1919076084714009760,2025-06-20
热点问题,1918788315680871542,24-25 赛季总决赛 G6，步行者 108：91 雷霆，总决赛时隔 9 年再次进入抢七，如何评价这一场比赛？,https://www.zhihu.com/question/1918788315680871542,2025-06-20
热点问题,1919083599421989723,曝小米汽车工厂三期地块成交，超 6 亿元占地约 727 亩，如何从商业角度解读小米汽车这一扩张？,https://www.zhihu.com/question/1919083599421989723,2025-06-20
热点问题,1919128322991940146,伊朗发布「霍拉姆沙赫尔 -4」导弹发射画面，被认为是伊朗破坏力最强导弹，其威力有多大？,https://www.zhihu.com/question/1919128322991940146,2025-06-20
热点问题,1918724078870717869,既然紫色不好染，古人能不能用红线做经线，蓝线做纬线，纺织出紫色的布料？,https://www.zhihu.com/question/1918724078870717869,2025-06-20
热点问题,1911378137570321599,为什么手机摄影已经那么牛了，但还是无法替代相机？,https://www.zhihu.com/question/1911378137570321599,2025-06-20
热点问题,1918947733093479601,中科院古脊椎所付巧妹和河北地质大学季强发表顶刊，表明哈尔滨龙人属于丹尼索瓦人，这一发现有什么意义？,https://www.zhihu.com/question/1918947733093479601,2025-06-20
热点问题,1918411190075351258,音乐人科钦夫回应高考数学 10 分考入 985 争议，称艺术生数学不计成绩，如何看待此事？,https://www.zhihu.com/question/1918411190075351258,2025-06-20
热点问题,1919294534195601705,以军称 14 架载有军事装备的飞机从美抵达以境内，特朗普两周内将决定是否打伊朗，哪些因素会影响其决策？,https://www.zhihu.com/question/1919294534195601705,2025-06-20
热点问题,1914671600277645246,《还珠格格》里的小燕子不学无术、一点规矩都没有，为什么却能深得观众们喜欢？,https://www.zhihu.com/question/1914671600277645246,2025-06-20
热点问题,1919338735339832658,央行行长潘功胜首次在公开场合谈及稳定币，稳定币是什么？有何深意？,https://www.zhihu.com/question/1919338735339832658,2025-06-20
热点问题,654203874,明明无线鼠标有那么多优点，为什么还有那么多人买有线鼠标？,https://www.zhihu.com/question/654203874,2025-06-20
热点问题,1919289326078001308,Labubu 大量补货造成二手价格腰斩，你能用经济学解释这种市场金融现象么？,https://www.zhihu.com/question/1919289326078001308,2025-06-20
热点问题,1917269414245565107,如何评价《灵笼 2》第六集？,https://www.zhihu.com/question/1917269414245565107,2025-06-20
热点问题,1919084939133023443,泰柬边境局势紧张，泰国总理佩通坦与柬埔寨参议院主席洪森通话录音被泄露，暴露了哪些问题？可能有哪些影响？,https://www.zhihu.com/question/1919084939133023443,2025-06-20
热点问题,1919080746326384958,如何看待德转更新王钰栋身价为 150 万欧元，比之前暴涨 110 万欧元？,https://www.zhihu.com/question/1919080746326384958,2025-06-20
热点问题,1919096968157815906,世俱杯小组赛，巴黎圣日耳曼 0-1 博塔弗格，如何评价本场比赛？,https://www.zhihu.com/question/1919096968157815906,2025-06-20
热点问题,1918657705675027030,如何看待北京国安足球俱乐部因经济纠纷被济南中院列为被执行人，执行标的超过 36 亿 8 千万人民币？,https://www.zhihu.com/question/1918657705675027030,2025-06-20
热点问题,1919182460014526674,网传广东怀集洪水后赵一鸣超市被哄抢，县政府回应相关单位正在核实，若属实哄抢者该承担哪些法律责任？,https://www.zhihu.com/question/1919182460014526674,2025-06-20
热点问题,1917959583562970623,LPL 第二赛段，国产上单「圣枪哥」表现出众，你对他这十一年的职业生涯有何评价？,https://www.zhihu.com/question/1917959583562970623,2025-06-20
热点问题,1919322253302134687,如何看待「节约悖论」在当下经济发展中的意义，以及凯恩斯认为「国家越节约越贫穷」的观点?,https://www.zhihu.com/question/1919322253302134687,2025-06-20
热点问题,1918738247623893970,如何评价《原神》角色丝柯克的强度?,https://www.zhihu.com/question/1918738247623893970,2025-06-20
热点问题,1919127897731470474,字节跳动技术副总裁开源了自己与 Trae 合作的首个项目，如何评价目前 AI 开发的水平？,https://www.zhihu.com/question/1919127897731470474,2025-06-20
热点问题,1917675048724046480,女子因吃荔枝被查出「酒驾」，这是为什么？还有哪些食物会有类似情况？,https://www.zhihu.com/question/1917675048724046480,2025-06-20
